Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C15_2, C15, C17, C18, C2, C20, C21, C3, C4, C5, C8",0402,13,1uF,
"C10, C11, C14, C16",0402,4,10uF,
"C13, C6",0402,2,100nF,
"C19, C22, C23, C24",0402,4,0.022uF,
"C7, C9",0402,2,24pF,
"FB1, FB2, FB3, FB4, FB5",0402,5,120@100,
J1,MOLEX_0480372200,1,0480372200,
J2,BEL_L836-1J1T-43,1,L836-1J1T-43,
R1,0402,1,12k,
"R10, R11",0402,2,1k,
"R12, R13, R4, R5, R6, R7, R8, R9",0402,8,49.9,
R2,0402,1,8.06k,
R3,0402,1,10k,
SW1,SW_SPST_PTS645Sx43SMTR92,1,SW_Push,
U1,SOT-23-6,1,93LCxxAxxOT,
U2,QFN-56-1EP_8x8mm_P0.5mm_EP5.9x5.9mm,1,LAN7500-ABJZ,
U3,SOT-23-6,1,USBLC6-2SC6,
U4,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U5,SOT-223-3_TabPin2,1,AMS1117-1.2,
Y1,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,1,25Mhz,
