Designator,Mid X,Mid Y,Rotation,Layer
C1,62.845,-86.05,180.0,top
C10,73.445,-93.55,180.0,top
C11,76.68,-93.725,180.0,top
C12,70.495,-88.15,180.0,top
C13,72.025,-87.82,270.0,top
C14,74.195,-80.5,180.0,top
C15,76.175,-82.43,90.0,top
C16,79.395,-89.1,0.0,bottom
C17,79.345,-87.0,0.0,bottom
C18,71.545,-86.1,180.0,top
C19,66.945,-90.45,0.0,top
C2,60.045,-80.15,180.0,top
C20,71.345,-85.0,180.0,top
C21,78.605,-93.65,0.0,top
C22,70.305,-89.2,180.0,top
C23,70.495,-87.15,180.0,top
C24,77.275,-82.47,90.0,top
C25,80.945,-82.85,180.0,top
C26,75.925,-80.07,270.0,top
C27,81.35,-79.23,90.0,top
C3,62.445,-90.45,0.0,top
C4,64.545,-90.45,180.0,top
C5,84.825,-94.25,90.0,top
C6,84.875,-96.23,270.0,top
C7,90.345,-77.3,0.0,top
C8,87.845,-77.3,0.0,top
C9,79.725,-95.38,270.0,top
FB1,79.34,-88.0,0.0,bottom
FB2,74.575,-86.635,90.0,bottom
FB3,71.99,-83.85,180.0,top
FB4,82.525,-81.385,270.0,top
FB5,81.375,-81.285,270.0,top
J1,57.2,-87.9,270.0,top
J2,96.45175,-88.6684,270.0,top
R1,79.175,-82.49,270.0,top
R10,83.865,-86.05,180.0,top
R11,82.425,-83.54,270.0,top
R12,83.685,-85.05,180.0,top
R13,81.075,-95.41,90.0,top
R2,80.515,-93.65,0.0,top
R3,100.415,-77.35,0.0,top
R4,102.315,-100.25,0.0,top
R5,82.275,-92.99,90.0,top
R6,83.165,-91.45,180.0,top
R7,83.915,-88.8,180.0,top
R8,83.815,-90.45,180.0,top
R9,83.815,-87.75,180.0,top
SW1,73.955,-97.725,180.0,top
U1,77.26,-88.155,0.0,top
U2,65.525,-81.8,180.0,top
U3,70.65,-91.8125,270.0,top
U4,66.1625,-87.9,180.0,top
U6,65.025,-95.6,90.0,top
Y1,78.625,-79.6,0.0,top
